gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ACHN_DNMT3Awt_1	ACHN_DNMT3Awt_2	ACHN_DNMT3Awt_3	ACHN_Shscramble_1	ACHN_Shscramble_2	ACHN_Shscramble_3	symbol	description	term	threshold
ENSG00000164104	4417.049	1.23	0.053	23.202	4.34842792997583e-119	3.65371480116302e-116	6127.05	6140.39	6312.62	2826.32	2608.76	2487.15	HMGB2	high	mobility	TRUE
ENSG00000165092	27087.438	-1.26	0.055	-22.997	5.00708472370577e-117	4.0159095431722e-114	14506.72	16512.02	16860.65	37300.96	39997.26	37347.01	ALDH1A1	aldehyde	dehydrogenase	TRUE
ENSG00000142945	1197.964	1.599	0.07	22.961	1.14973465871029e-116	8.82046437084477e-114	1808	1832.46	1762.98	613.46	613.77	557.12	KIF2C	kinesin	family	TRUE
ENSG00000117289	18425.69	-1.254	0.055	-22.908	3.82632368268619e-116	2.81314505754158e-113	10327.06	11332.83	11002.03	24627.75	28189.04	25075.43	NA	NA	NA	TRUE
ENSG00000214517	3837.343	1.301	0.057	22.906	4.05427025150746e-116	2.86150394351397e-113	5354.81	5867.66	5154.01	2227.6	2152.7	2267.28	PPME1	protein	phosphatase	TRUE
ENSG00000117399	1904.934	1.502	0.066	22.759	1.1802813359233e-114	8.01002468167947e-112	2701.31	2894.05	2852.2	976.48	922.16	1083.4	CDC20	cell	division	TRUE
ENSG00000139112	5912.921	-1.202	0.053	-22.653	1.29939504504409e-113	8.49178724807517e-111	3386.05	3779.51	3582.84	7989.68	8677.11	8062.34	GABARAPL1	GABA	type	TRUE
ENSG00000179750	932.23	1.725	0.077	22.473	7.5764134824078e-112	4.77449342489592e-109	1427.47	1375.05	1492.13	425.11	426.92	446.69	APOBEC3B	apolipoprotein	B	TRUE
ENSG00000175063	1161.69	1.73	0.078	22.23	1.76068466502285e-109	1.07128554876994e-106	1865.99	1849.5	1639.6	574.52	505.28	535.23	UBE2C	ubiquitin	conjugating	TRUE
ENSG00000178999	1376.746	1.435	0.065	22.218	2.30152190504455e-109	1.35367846715037e-106	1992.16	2050.27	1987.58	720.79	774.49	735.2	AURKB	aurora	kinase	TRUE
ENSG00000090861	11311.701	1.015	0.047	21.61	1.4420200636926e-103	8.20788516898579e-101	14540.29	15907.83	14956.94	7480.4	7254.7	7730.06	AARS	alanyl-tRNA	synthetase	TRUE
ENSG00000145824	317.066	-3.263	0.154	-21.218	6.54529582651742e-100	3.60911702684062e-97	59.01	48.3	72.29	512.44	579.61	630.74	CXCL14	C-X-C	motif	TRUE
ENSG00000106538	10101.399	-1.385	0.066	-21.125	4.67658869980305e-99	2.50055780630379e-96	5477.92	6342.11	4964.12	14504.12	14537.52	14782.61	RARRES2	retinoic	acid	TRUE
ENSG00000188229	7530.501	0.939	0.045	21.09	9.75345326175162e-99	5.06175537657669e-96	9862.08	9902.85	9930.16	5295.94	4923.19	5268.77	TUBB4B	tubulin	beta	TRUE
ENSG00000138180	2940.292	1.419	0.067	21.032	3.37197936456769e-98	1.69995931107991e-95	4396.38	4006.79	4435.9	1785.66	1511.81	1505.22	CEP55	centrosomal	protein	TRUE
ENSG00000070669	3519.016	1.05	0.05	20.883	7.61697659254054e-97	3.73337644376049e-94	4563.24	4744.51	4928.45	2284.42	2296.35	2297.13	ASNS	asparagine	synthetase	TRUE
ENSG00000010292	5685.987	0.932	0.045	20.841	1.84919571480068e-96	8.81866442909674e-94	7396.82	7625.3	7358.46	4024.83	3861.4	3849.11	NCAPD2	non-SMC	condensin	TRUE
ENSG00000126787	1189.064	1.429	0.069	20.791	5.25690537956599e-96	2.44100251111689e-93	1751.02	1662	1789.01	658.7	643.9	629.75	DLGAP5	DLG	associated	TRUE
ENSG00000115641	8731.771	-0.918	0.044	-20.664	7.36762905643162e-95	3.33337986412143e-92	5810.62	6219.94	6097.67	11147.46	11408.42	11706.51	FHL2	four	and	TRUE
ENSG00000112096	7089.237	-1.189	0.058	-20.545	8.53037958499791e-94	3.7629636944322e-91	4341.43	4064.55	4560.24	9613.29	10648.99	9306.91	SOD2	superoxide	dismutase	TRUE
ENSG00000111665	967.917	1.541	0.076	20.382	2.42074476012148e-92	1.04180588517911e-89	1365.41	1511.42	1444.9	505.08	492.22	488.48	CDCA3	cell	division	TRUE
ENSG00000170312	2890.29	1.224	0.061	20.189	1.21650922455428e-90	5.11078696839529e-88	4125.74	3768.14	4249.86	1802.49	1762.95	1632.56	CDK1	cyclin	dependent	TRUE
ENSG00000196562	3013.998	-1.028	0.051	-20.117	5.28801607729173e-90	2.16993124846076e-87	1968.75	1924.32	2056.98	4090.07	4076.37	3967.5	SULF2	sulfatase	2	TRUE
ENSG00000205336	5694.986	-0.989	0.049	-20.04	2.47517319902133e-89	9.92600706743894e-87	3584.46	3985.95	3876.83	7588.78	7452.59	7681.31	ADGRG1	adhesion	G	TRUE
ENSG00000101057	1272.761	1.387	0.069	20.011	4.3807141600309e-89	1.7177266967499e-86	1874.13	1752.91	1896.97	746.04	680.06	686.45	MYBL2	MYB	proto-oncogene	TRUE
ENSG00000135451	1074.204	1.459	0.074	19.846	1.18812410675669e-87	4.55748910080907e-85	1561.78	1673.36	1491.16	569.26	578.61	571.05	TROAP	trophinin	associated	TRUE
ENSG00000123416	44473.657	0.825	0.042	19.837	1.415230507696e-87	5.31313666133955e-85	55635.87	56430.26	58510.09	33203.53	30912.32	32149.87	TUBA1B	tubulin	alpha	TRUE
ENSG00000138449	1636.06	-1.287	0.065	-19.739	9.9419501928206e-87	3.65470231567332e-84	884.16	967.84	1000.53	2306.52	2415.89	2241.42	SLC40A1	solute	carrier	TRUE
ENSG00000157456	978.662	1.426	0.073	19.645	6.4282183682475e-86	2.31481455321892e-83	1398.99	1441.34	1439.11	537.7	546.46	508.37	CCNB2	cyclin	B2	TRUE
ENSG00000137807	1766.157	1.178	0.06	19.574	2.59033900113821e-85	9.14130633501675e-83	2424.57	2385.51	2537.97	1115.38	1089.91	1043.61	KIF23	kinesin	family	TRUE
ENSG00000135476	1505.112	1.204	0.062	19.427	4.60357110363258e-84	1.5927453357568e-81	2029.8	2151.6	2115.77	929.13	898.05	906.32	ESPL1	extra	spindle	TRUE
ENSG00000186185	867.034	1.467	0.076	19.387	9.9270983722107e-84	3.36853174572419e-81	1290.12	1266.15	1263.68	472.46	465.1	444.7	KIF18B	kinesin	family	TRUE
ENSG00000135636	6186.88	1.154	0.06	19.314	4.08799873308059e-83	1.36099504990957e-80	8352.2	8902.81	8356.11	4110.06	3446.53	3953.57	DYSF	dysferlin	calcium	TRUE
ENSG00000169679	2389.933	1.188	0.062	19.297	5.6815939169223e-83	1.85651341970544e-80	3372.83	3161.11	3431.51	1565.74	1439.49	1368.93	BUB1	BUB1	mitotic	TRUE
ENSG00000143228	1157.882	1.403	0.073	19.283	7.4234656270883e-83	2.38158274527224e-80	1656.4	1594.76	1789.97	658.7	609.75	637.7	NUF2	NUF2	component	TRUE
ENSG00000118193	1252.784	1.46	0.076	19.214	2.84019808635368e-82	8.94915986316263e-80	1889.39	1691.35	1931.67	714.47	670.02	619.8	KIF14	kinesin	family	TRUE
ENSG00000103187	8396.892	0.83	0.043	19.099	2.59794584434423e-81	8.04223761814981e-79	10889.7	10777.89	10579.84	6020.93	5848.36	6264.63	COTL1	coactosin	like	TRUE
ENSG00000101447	811.917	1.667	0.088	18.942	5.17708763835455e-80	1.54830019286044e-77	1250.44	1165.77	1287.78	434.58	385.74	347.21	FAM83D	family	with	TRUE
ENSG00000112984	713.318	1.607	0.085	18.942	5.09966452245539e-80	1.54830019286044e-77	1022.53	1092.85	1106.56	368.29	335.51	354.17	KIF20A	kinesin	family	TRUE
ENSG00000122966	1885.116	1.313	0.07	18.833	4.06088042386837e-79	1.19423725131929e-76	2500.88	2694.24	2869.55	1129.06	1128.08	988.89	CIT	citron	rho-interacting	TRUE
ENSG00000149131	447.697	-2.021	0.108	-18.792	8.83857731708862e-79	2.55666716000047e-76	165.84	196.03	168.68	683.96	751.39	720.28	SERPING1	serpin	family	TRUE
ENSG00000154734	6023.637	-0.856	0.046	-18.787	9.59187642458957e-79	2.72981708890134e-76	4392.31	4130.85	4337.58	7893.93	7822.25	7564.91	ADAMTS1	ADAM	metallopeptidase	TRUE
ENSG00000144136	7557.661	0.906	0.048	18.772	1.2899580602107e-78	3.61290634482824e-76	10239.56	9473.86	9855.94	5013.94	5404.36	5358.31	SLC20A1	solute	carrier	TRUE
ENSG00000165376	2402.68	-1.377	0.073	-18.766	1.42325933739961e-78	3.92397047006502e-76	1175.15	1365.58	1466.1	3283	3728.81	3397.44	CLDN2	claudin	2	TRUE
ENSG00000154736	410.514	-2.192	0.117	-18.714	3.80264377182959e-78	1.03227152852205e-75	154.65	130.69	157.12	718.68	690.11	611.84	ADAMTS5	ADAM	metallopeptidase	TRUE
ENSG00000167553	11684.964	0.827	0.044	18.674	8.03955164146892e-78	2.14936195020787e-75	14790.58	14974.08	15065.86	8658.91	7983.98	8636.37	TUBA1C	tubulin	alpha	TRUE
ENSG00000134013	4957.411	0.836	0.045	18.667	9.15501501966708e-78	2.4110483585377e-75	6446.52	6330.74	6285.63	3516.6	3513.84	3651.13	LOXL2	lysyl	oxidase	TRUE
ENSG00000138778	959.654	1.501	0.081	18.631	1.80739928859863e-77	4.68993535990042e-75	1401.02	1331.49	1522.01	535.59	497.24	470.57	CENPE	centromere	protein	TRUE
ENSG00000145386	1207.486	1.389	0.075	18.588	3.99252015849844e-77	1.02098577096674e-74	1701.17	1697.04	1843.95	722.89	670.02	609.85	CCNA2	cyclin	A2	TRUE
ENSG00000072571	1357.503	1.521	0.083	18.397	1.4001310531247e-75	3.52933034748361e-73	2065.41	1778.48	2195.78	756.56	698.15	650.64	HMMR	hyaluronan	mediated	TRUE
ENSG00000006747	1346.866	-1.294	0.071	-18.264	1.61449746539485e-74	4.01236729252001e-72	701.02	829.58	808.72	1924.55	1866.41	1950.92	SCIN	scinderin	phosphatidylserine	TRUE
ENSG00000115221	4888.76	-0.975	0.054	-18.161	1.05407293721903e-73	2.58321069128192e-71	3113.38	3411.12	3365.96	6573.36	6743.39	6125.35	ITGB6	integrin	subunit	TRUE
ENSG00000066279	2729.146	1.286	0.071	18.078	4.74284796900326e-73	1.1464048275762e-70	3870.36	3622.3	4119.74	1785.66	1468.62	1508.21	ASPM	abnormal	spindle	TRUE
ENSG00000137804	1742.157	1.123	0.062	18.019	1.39117830175427e-72	3.31720826141271e-70	2316.72	2306.91	2539.89	1110.12	1091.92	1087.38	NUSAP1	nucleolar	and	TRUE
ENSG00000198901	3150.558	1.107	0.062	17.998	2.00371809133526e-72	4.71408076288142e-70	4366.87	4020.05	4522.65	2121.32	2013.07	1859.39	PRC1	protein	regulator	TRUE
ENSG00000237649	835.903	1.407	0.078	17.98	2.78490591047578e-72	6.46574536715068e-70	1208.72	1204.59	1228.02	491.4	438.98	443.71	KIFC1	kinesin	family	TRUE
ENSG00000013810	1768.464	1.03	0.057	17.917	8.64679819394569e-72	1.98146433937885e-69	2363.52	2396.88	2361.57	1183.77	1132.1	1172.94	TACC3	transforming	acidic	TRUE
ENSG00000123485	2136.645	1.107	0.062	17.885	1.55674853661916e-71	3.52164460623654e-69	2932.27	2821.13	3002.57	1366.86	1443.51	1253.52	HJURP	Holliday	junction	TRUE
ENSG00000164611	870.287	1.373	0.077	17.841	3.40559728355478e-71	7.6065524137119e-69	1229.07	1264.25	1274.28	453.52	492.22	508.37	PTTG1	PTTG1	regulator	TRUE
ENSG00000120437	1254.942	1.378	0.078	17.736	2.19872457039503e-70	4.84956188057754e-68	1842.59	1649.69	1945.16	687.11	656.96	748.13	ACAT2	acetyl-CoA	acetyltransferase	TRUE
ENSG00000145623	2821.298	-0.933	0.053	-17.698	4.31644758257165e-70	9.40292809808356e-68	1881.25	1924.32	2011.67	3630.24	3820.22	3660.09	OSMR	oncostatin	M	TRUE
ENSG00000105855	870.612	-1.782	0.101	-17.66	8.48636077968012e-70	1.82611995070068e-67	373.4	394.9	407.73	1443.68	1489.71	1114.24	ITGB8	integrin	subunit	TRUE
ENSG00000076382	1330.27	1.366	0.078	17.601	2.42810095773398e-69	5.16190860231519e-67	1853.78	1878.86	2016.49	840.74	716.23	675.51	SPAG5	sperm	associated	TRUE
ENSG00000103257	3106.054	1.009	0.057	17.592	2.82384374698356e-69	5.93175272803868e-67	4080.97	4183.88	4185.28	2219.18	1913.62	2053.39	SLC7A5	solute	carrier	TRUE
ENSG00000109805	1137.556	1.323	0.075	17.586	3.13961573336244e-69	6.51747289590356e-67	1627.91	1598.55	1649.24	722.89	628.83	597.91	NCAPG	non-SMC	condensin	TRUE
ENSG00000121152	1106.614	1.264	0.072	17.533	7.99870491498967e-69	1.64112963052317e-66	1625.88	1462.18	1600.08	641.87	666	643.67	NCAPH	non-SMC	condensin	TRUE
ENSG00000117650	858.514	1.409	0.082	17.279	6.77922958512442e-67	1.37493685091403e-64	1207.71	1196.07	1337.9	494.55	473.13	441.72	NEK2	NIMA	related	TRUE
ENSG00000058085	6899.806	2.33	0.136	17.174	4.17135711872721e-66	8.36404504090246e-64	13478.08	10255.14	10799.61	2254.96	2157.72	2453.32	LAMC2	laminin	subunit	TRUE
ENSG00000132507	13200.033	0.699	0.041	17.1	1.47915514582231e-65	2.93254972449828e-63	16406.28	16558.42	16041.33	10000.52	9819.25	10374.39	EIF5A	eukaryotic	translation	TRUE
ENSG00000132561	5266.86	0.803	0.047	17.06	2.92409563509697e-65	5.73285194236511e-63	6868.76	6556.13	6660.59	3932.23	3682.6	3900.84	MATN2	matrilin	2	TRUE
ENSG00000024526	1477.414	1.281	0.075	17.021	5.78383816049506e-65	1.1214925751861e-62	2131.55	1948.94	2198.67	933.34	880.97	771.02	DEPDC1	DEP	domain	TRUE
ENSG00000161800	2786.454	0.981	0.058	17.006	7.37833606550316e-65	1.41511673778047e-62	3567.16	3594.84	3933.7	1955.07	1851.34	1816.61	RACGAP1	Rac	GTPase	TRUE
ENSG00000164938	1592.323	-1.04	0.061	-16.956	1.74260020384285e-64	3.30625597815131e-62	1013.37	1041.71	1069.94	2189.72	2181.83	2057.37	TP53INP1	tumor	protein	TRUE
ENSG00000092621	2639.165	1.173	0.069	16.925	2.93419110586416e-64	5.507851283295e-62	3429.8	3875.15	3663.81	1704.63	1439.49	1722.1	PHGDH	phosphoglycerate	dehydrogenase	TRUE
ENSG00000171241	1338.686	1.173	0.07	16.852	1.00923960644516e-63	1.87452977428682e-61	1815.12	1774.69	1974.08	855.47	835.77	776.99	SHCBP1	SHC	binding	TRUE
ENSG00000175166	8090.13	0.777	0.046	16.843	1.17860416158169e-63	2.16629900324051e-61	10507.14	9850.77	10297.41	6187.19	5758.95	5939.31	PSMD2	proteasome	26S	TRUE
ENSG00000163430	1811.128	-1.082	0.064	-16.816	1.87814827452677e-63	3.41648724783761e-61	1126.31	1255.73	1103.67	2473.82	2541.45	2365.78	FSTL1	follistatin	like	TRUE
ENSG00000138160	2246.872	1.237	0.074	16.811	2.0136933098678e-63	3.62567535230789e-61	3154.08	2899.74	3410.3	1481.56	1308.9	1226.66	KIF11	kinesin	family	TRUE
ENSG00000122952	2262.506	0.892	0.053	16.801	2.38608394941996e-63	4.25277285732476e-61	2911.92	2907.31	3001.6	1574.16	1599.21	1580.83	ZWINT	ZW10	interacting	TRUE
ENSG00000189403	8898.325	0.857	0.051	16.785	3.12839124652713e-63	5.52004635449712e-61	11783.02	10734.33	11883.04	6598.62	6303.41	6087.54	HMGB1	high	mobility	TRUE
ENSG00000162063	623.491	1.455	0.087	16.752	5.50405333831484e-63	9.61574466876884e-61	906.54	928.07	906.07	351.45	327.48	321.34	CCNF	cyclin	F	TRUE
ENSG00000150625	288.837	-2.188	0.131	-16.744	6.3155976557883e-63	1.0925364768273e-60	98.69	111.75	101.21	493.5	482.17	445.7	GPM6A	glycoprotein	M6A	TRUE
ENSG00000124766	3666.95	-0.875	0.052	-16.704	1.21650463313528e-62	2.08400235453126e-60	2545.64	2665.83	2551.46	5009.73	4623.84	4605.2	SOX4	SRY-box	4	TRUE
ENSG00000011426	5453.305	1.069	0.064	16.703	1.23879509693196e-62	2.1017826428235e-60	7233.01	6962.4	7959.94	3878.57	3356.13	3329.79	ANLN	anillin	actin	TRUE
ENSG00000079616	1601.735	1.016	0.061	16.6	7.00151415974522e-62	1.17658778427338e-59	2153.93	2216.94	2059.87	1071.18	1072.84	1035.65	KIF22	kinesin	family	TRUE
ENSG00000174827	1156.973	-1.604	0.097	-16.592	7.96822520388096e-62	1.32640880870264e-59	538.23	652.49	527.26	1508.92	1978.92	1736.03	PDZK1	PDZ	domain	TRUE
ENSG00000108846	6395.714	-0.898	0.055	-16.437	1.04222597495844e-60	1.71869881571417e-58	4398.41	4682.95	4320.23	7704.52	8620.85	8647.32	ABCC3	ATP	binding	TRUE
ENSG00000183856	1790.696	0.969	0.059	16.404	1.80422002556786e-60	2.94772799547639e-58	2361.49	2430.02	2320.12	1226.92	1246.62	1159.01	IQGAP3	IQ	motif	TRUE
ENSG00000183287	3259.785	0.949	0.058	16.393	2.1582494463279e-60	3.49379004407851e-58	4538.82	4114.75	4231.55	2349.66	2096.45	2227.49	CCBE1	collagen	and	TRUE
ENSG00000134690	806.234	1.278	0.078	16.386	2.40228934419886e-60	3.85349049803535e-58	1194.48	1114.63	1116.2	471.4	470.12	470.57	CDCA8	cell	division	TRUE
ENSG00000075218	528.249	1.525	0.093	16.371	3.06842465812426e-60	4.87768946780204e-58	762.07	791.7	798.11	278.84	264.19	274.58	GTSE1	G2	and	TRUE
ENSG00000169418	468.484	-1.698	0.104	-16.349	4.40057760519203e-60	6.93287427175119e-58	229.94	216.86	215.92	654.5	765.45	728.24	NPR1	natriuretic	peptide	TRUE
ENSG00000197444	2801.99	-0.814	0.05	-16.302	9.49905902861977e-60	1.48328227044244e-57	2005.38	2052.16	2038.66	3510.28	3585.16	3620.29	OGDHL	oxoglutarate	dehydrogenase	TRUE
ENSG00000118523	3384.721	-1.01	0.062	-16.278	1.40452152140006e-59	2.17392826711438e-57	2030.82	2245.35	2460.85	4435.2	4579.64	4556.46	CCN2	cellular	communication	TRUE
ENSG00000172667	2960.642	-0.987	0.061	-16.246	2.38513306223389e-59	3.65962372896669e-57	1914.83	1912.01	2130.23	4057.45	4070.34	3678.99	ZMAT3	zinc	finger	TRUE
ENSG00000166922	928.748	-1.491	0.092	-16.234	2.88583228802107e-59	4.38969920018378e-57	419.19	536.95	505.09	1243.75	1480.67	1386.83	SCG5	secretogranin	V	TRUE
ENSG00000126860	573.062	1.467	0.09	16.232	3.00619596146661e-59	4.53370322564773e-57	810.9	860.83	853.06	299.89	296.34	317.36	EVI2A	ecotropic	viral	TRUE
ENSG00000127920	4152.214	-0.913	0.056	-16.161	9.5584944046192e-59	1.42931893025005e-56	2952.62	2763.37	2928.35	5086.54	5808.18	5374.23	GNG11	G	protein	TRUE
ENSG00000196230	31150.916	0.678	0.042	16.158	9.90158557544209e-59	1.46818048301408e-56	38427.84	38072.53	38517.7	24641.43	22754.55	24491.44	TUBB	tubulin	beta	TRUE
ENSG00000142494	174.064	-3.04	0.188	-16.131	1.54964126957045e-58	2.27861835013088e-56	39.68	31.25	42.41	301.99	340.53	288.51	SLC47A1	solute	carrier	TRUE
ENSG00000182963	3763.222	0.92	0.057	16.011	1.07651560561098e-57	1.56984445132278e-55	5314.11	4603.4	4855.2	2595.88	2549.49	2661.25	GJC1	gap	junction	TRUE
ENSG00000090889	901.814	1.281	0.08	16.007	1.13541380736014e-57	1.64216201892374e-55	1289.1	1183.76	1360.07	547.17	528.38	502.4	KIF4A	kinesin	family	TRUE
ENSG00000167601	8239.404	0.732	0.046	16.003	1.22539224160478e-57	1.75788992708263e-55	10373.86	10363.1	10121.02	6189.29	5909.63	6479.52	AXL	AXL	receptor	TRUE
ENSG00000137309	6212.396	0.811	0.051	15.997	1.34387782524474e-57	1.91231646987447e-55	8172.11	8011.68	7559.92	4445.73	4329.51	4755.43	HMGA1	high	mobility	TRUE
ENSG00000163581	843.56	-1.403	0.088	-15.975	1.90187621875795e-57	2.68468847039872e-55	438.52	464.03	485.81	1328.98	1253.65	1090.37	SLC2A2	solute	carrier	TRUE
ENSG00000121039	1754.966	-1.023	0.064	-15.959	2.48452102171723e-57	3.47931535144449e-55	1232.12	1118.42	1122.95	2331.77	2475.16	2249.38	RDH10	retinol	dehydrogenase	TRUE
ENSG00000137673	249.97	-2.374	0.149	-15.943	3.19047434647041e-57	4.43274959397404e-55	75.29	98.49	68.44	396.7	450.03	410.88	MMP7	matrix	metallopeptidase	TRUE
ENSG00000124207	4593.304	0.84	0.053	15.9	6.34090073581118e-57	8.74103074088971e-55	6129.08	5531.47	6019.6	3362.97	3347.08	3169.62	CSE1L	chromosome	segregation	TRUE
ENSG00000130707	511.904	-1.754	0.111	-15.769	5.12347059798618e-56	7.00803400786559e-54	226.89	275.58	199.53	850.21	730.29	788.92	ASS1	argininosuccinate	synthase	TRUE
ENSG00000139174	3735.197	-0.888	0.057	-15.708	1.33007680019506e-55	1.80532347226475e-53	2471.37	2608.06	2779.91	5092.86	4637.9	4821.09	PRICKLE1	prickle	planar	TRUE
ENSG00000160200	942.218	1.217	0.078	15.699	1.5305873949293e-55	2.06161943385707e-53	1398.99	1268.99	1284.89	602.94	535.41	562.1	CBS	cystathionine-beta-synthase	cystathionine	TRUE
ENSG00000235142	509.781	-1.514	0.097	-15.671	2.39777819237763e-55	3.20521183367449e-53	255.38	269.9	267.97	705	775.5	784.94	LINC02532	long	intergenic	TRUE
ENSG00000068489	1249.109	1.201	0.077	15.605	6.76494885185139e-55	8.97500169104644e-53	1734.74	1762.38	1724.43	860.73	689.11	723.26	PRR11	proline	rich	TRUE
ENSG00000122861	14402.504	0.706	0.045	15.584	9.29018083693177e-55	1.22332269304225e-52	18258.03	17175.87	18139.76	10769.71	10616.85	11454.81	PLAU	plasminogen	activator,	TRUE
ENSG00000129195	337.289	1.828	0.117	15.58	9.97764948921918e-55	1.30411574249831e-52	521.95	515.17	541.72	160.99	141.64	142.26	PIMREG	PICALM	interacting	TRUE
ENSG00000144381	26292.965	0.575	0.037	15.471	5.43555952563499e-54	7.05223881101687e-52	31294.54	31057.1	32054.71	20863.88	21408.49	21079.08	HSPD1	heat	shock	TRUE
ENSG00000112742	767.393	1.221	0.079	15.453	7.20546572357972e-54	9.28032428412877e-52	1101.89	1036.03	1084.39	468.25	467.11	446.69	TTK	TTK	protein	TRUE
ENSG00000067225	65245.922	0.607	0.039	15.448	7.82606408942192e-54	1.00065870186848e-51	77438.68	79387.61	79486.62	52311.21	49810.49	53040.92	PKM	pyruvate	kinase	TRUE
ENSG00000124568	948.176	-1.253	0.082	-15.374	2.44964555108782e-53	3.10963998193846e-51	544.33	561.58	575.45	1210.08	1454.56	1343.06	SLC17A1	solute	carrier	TRUE
ENSG00000153822	1018.251	-1.114	0.073	-15.325	5.17032703789124e-53	6.51645861311363e-51	663.37	634.49	633.29	1401.59	1458.57	1318.19	KCNJ16	potassium	voltage-gated	TRUE
ENSG00000101224	1343.231	1.028	0.067	15.32	5.59883219620109e-53	7.00648185120342e-51	1789.68	1894.01	1723.46	918.61	885.99	847.62	CDC25B	cell	division	TRUE
ENSG00000173207	1480.803	0.939	0.061	15.279	1.06328388955672e-52	1.32124255149495e-50	1993.17	1890.23	1955.77	995.42	1015.58	1034.65	CKS1B	CDC28	protein	TRUE
ENSG00000171298	1752.674	-0.942	0.062	-15.248	1.70140973423336e-52	2.09939683640193e-50	1161.92	1286.98	1149.94	2270.74	2322.47	2323.99	GAA	glucosidase	alpha,	TRUE
